Paradigm,Order,Class,Lemma,Stem,Subject,Object,Mode,Negation,Form1Surface,Form1Split,Form1Source,Form2Surface,Form2Split,Form2Source
VTI,Cnj,VTI_aa,ayaan,ayaa,1Sg,0Sg,Neu,Pos,ayaamaan,<<ayaa>>maan,JDN-2010-MS-VTI-p27,,,
VTI,Cnj,VTI_aa,ayaan,ayaa,1Sg,0Pl,Neu,Pos,ayaamaan,<<ayaa>>maan,JDN-2010-MS-VTI-p27,,,
VTI,Cnj,VTI_aa,ayaan,ayaa,2Pl,0Sg,Neu,Pos,ayaameg,<<ayaa>>meg,JDN-2010-MS-VTI-p27,,,
VTI,Cnj,VTI_aa,ayaan,ayaa,2Pl,0Pl,Neu,Pos,ayaameg,<<ayaa>>meg,JDN-2010-MS-VTI-p27,,,
VTI,Cnj,VTI_aa,ayaan,ayaa,2Sg,0Sg,Neu,Pos,ayaaman,<<ayaa>>man,JDN-2010-MS-VTI-p27,,,
VTI,Cnj,VTI_aa,ayaan,ayaa,2Sg,0Pl,Neu,Pos,ayaaman,<<ayaa>>man,JDN-2010-MS-VTI-p27,,,
VTI,Cnj,VTI_aa,ayaan,ayaa,3PlProx,0Sg,Neu,Pos,ayaamowaad,<<ayaa>>mowaad,JDN-2010-MS-VTI-p27,,,
VTI,Cnj,VTI_aa,ayaan,ayaa,3PlProx,0Pl,Neu,Pos,ayaamowaad,<<ayaa>>mowaad,JDN-2010-MS-VTI-p27,,,
VTI,Cnj,VTI_aa,ayaan,ayaa,3SgObv,0Sg,Neu,Pos,ayaaminid,<<ayaa>>minid,JDN-2010-MS-VTI-p27,,,
VTI,Cnj,VTI_aa,ayaan,ayaa,3SgObv,0Pl,Neu,Pos,ayaaminid,<<ayaa>>minid,JDN-2010-MS-VTI-p27,,,
VTI,Cnj,VTI_aa,ayaan,ayaa,3PlObv,0Sg,Neu,Pos,ayaaminid,<<ayaa>>minid,JDN-2010-MS-VTI-p27,,,
VTI,Cnj,VTI_aa,ayaan,ayaa,3PlObv,0Pl,Neu,Pos,ayaaminid,<<ayaa>>minid,JDN-2010-MS-VTI-p27,,,
VTI,Cnj,VTI_aa,ayaan,ayaa,3SgProx,0Sg,Neu,Pos,ayaang,<<ayaa>>ng,JDN-2010-MS-VTI-p27,,,
VTI,Cnj,VTI_aa,ayaan,ayaa,3SgProx,0Pl,Neu,Pos,ayaang,<<ayaa>>ng,JDN-2010-MS-VTI-p27,,,
