Paradigm,Order,Class,Lemma,Stem,Head,Subject,Object,Mode,Negation,Form1Surface,Form1Split,Form1Source,Form2Surface,Form2Split,Form2Source
VTI,Imp,VTI_aa,ayaan,ayaa,NONE,2SgSubj,0SgObj,Del,NONE,MISSING,,,,,
VTI,Imp,VTI_aa,ayaan,ayaa,NONE,2SgSubj,0PlObj,Del,NONE,MISSING,,,,,
VTI,Imp,VTI_aa,ayaan,ayaa,NONE,2PlSubj,0SgObj,Del,NONE,MISSING,,,,,
VTI,Imp,VTI_aa,ayaan,ayaa,NONE,2PlSubj,0PlObj,Del,NONE,MISSING,,,,,
VTI,Imp,VTI_aa,ayaan,ayaa,NONE,InclSubj,0SgObj,Del,NONE,MISSING,,,,,
VTI,Imp,VTI_aa,ayaan,ayaa,NONE,InclSubj,0PlObj,Del,NONE,MISSING,,,,,
VTI,Imp,VTI_aa,ayaan,ayaa,NONE,2SgSubj,0SgObj,Prb,NONE,MISSING,,,,,
VTI,Imp,VTI_aa,ayaan,ayaa,NONE,2SgSubj,0PlObj,Prb,NONE,MISSING,,,,,
VTI,Imp,VTI_aa,ayaan,ayaa,NONE,2PlSubj,0SgObj,Prb,NONE,MISSING,,,,,
VTI,Imp,VTI_aa,ayaan,ayaa,NONE,2PlSubj,0PlObj,Prb,NONE,MISSING,,,,,
VTI,Imp,VTI_aa,ayaan,ayaa,NONE,InclSubj,0SgObj,Prb,NONE,MISSING,,,,,
VTI,Imp,VTI_aa,ayaan,ayaa,NONE,InclSubj,0PlObj,Prb,NONE,MISSING,,,,,
VTI,Imp,VTI_aa,ayaan,ayaa,NONE,2SgSubj,0SgObj,Sim,NONE,MISSING,,,,,
VTI,Imp,VTI_aa,ayaan,ayaa,NONE,2SgSubj,0PlObj,Sim,NONE,MISSING,,,,,
VTI,Imp,VTI_aa,ayaan,ayaa,NONE,2PlSubj,0SgObj,Sim,NONE,MISSING,,,,,
VTI,Imp,VTI_aa,ayaan,ayaa,NONE,2PlSubj,0PlObj,Sim,NONE,MISSING,,,,,
VTI,Imp,VTI_aa,ayaan,ayaa,NONE,InclSubj,0SgObj,Sim,NONE,MISSING,,,,,
VTI,Imp,VTI_aa,ayaan,ayaa,NONE,InclSubj,0PlObj,Sim,NONE,MISSING,,,,,
VTI,Imp,VTI_i,miijin,miiji,NONE,2SgSubj,0SgObj,Del,NONE,miijiikan,<<miiji>>ikan,JDN-2010-MS-VTI-p46,,,
VTI,Imp,VTI_i,miijin,miiji,NONE,2SgSubj,0PlObj,Del,NONE,miijiikan,<<miiji>>ikan,JDN-2010-MS-VTI-p46,,,
VTI,Imp,VTI_i,miijin,miiji,NONE,2PlSubj,0SgObj,Del,NONE,miijiikeg,<<miiji>>ikeg,JDN-2010-MS-VTI-p46,,,
VTI,Imp,VTI_i,miijin,miiji,NONE,2PlSubj,0PlObj,Del,NONE,miijiikeg,<<miiji>>ikeg,JDN-2010-MS-VTI-p46,,,
VTI,Imp,VTI_i,miijin,miiji,NONE,InclSubj,0SgObj,Del,NONE,miijiikang,<<miiji>>ikang,JDN-2010-MS-VTI-p46,,,
VTI,Imp,VTI_i,miijin,miiji,NONE,InclSubj,0PlObj,Del,NONE,miijiikang,<<miiji>>ikang,JDN-2010-MS-VTI-p46,,,
VTI,Imp,VTI_i,miijin,miiji,NONE,2SgSubj,0SgObj,Prb,NONE,miijiken,<<miiji>>ken,JDN-2010-MS-VTI-p44,,,
VTI,Imp,VTI_i,miijin,miiji,NONE,2SgSubj,0PlObj,Prb,NONE,miijiken,<<miiji>>ken,JDN-2010-MS-VTI-p44,,,
VTI,Imp,VTI_i,miijin,miiji,NONE,2PlSubj,0SgObj,Prb,NONE,miijikegon,<<miiji>>kegon,JDN-2010-MS-VTI-p44,,,
VTI,Imp,VTI_i,miijin,miiji,NONE,2PlSubj,0PlObj,Prb,NONE,miijikegon,<<miiji>>kegon,JDN-2010-MS-VTI-p44,,,
VTI,Imp,VTI_i,miijin,miiji,NONE,InclSubj,0SgObj,Prb,NONE,miijisiidaa,<<miiji>>siidaa,JDN-2010-MS-VTI-p44,,,
VTI,Imp,VTI_i,miijin,miiji,NONE,InclSubj,0PlObj,Prb,NONE,miijisiidaanin,<<miiji>>siidaanin,JDN-2010-MS-VTI-p44,,,
VTI,Imp,VTI_i,miijin,miiji,NONE,2SgSubj,0SgObj,Sim,NONE,miijin,<<miiji>>n,JDN-2010-MS-VTI-p43,,,
VTI,Imp,VTI_i,miijin,miiji,NONE,2SgSubj,0PlObj,Sim,NONE,miijin,<<miiji>>n,JDN-2010-MS-VTI-p43,,,
VTI,Imp,VTI_i,miijin,miiji,NONE,2PlSubj,0SgObj,Sim,NONE,miijig,<<miiji>>g,JDN-2010-MS-VTI-p43,miijik,<<miiji>>k,JDN-2010-MS-VTI-p43
VTI,Imp,VTI_i,miijin,miiji,NONE,2PlSubj,0PlObj,Sim,NONE,miijig,<<miiji>>g,JDN-2010-MS-VTI-p43,miijik,<<miiji>>k,JDN-2010-MS-VTI-p43
VTI,Imp,VTI_i,miijin,miiji,NONE,InclSubj,0SgObj,Sim,NONE,miijidaa,<<miiji>>daa,JDN-2010-MS-VTI-p43,,,
VTI,Imp,VTI_i,miijin,miiji,NONE,InclSubj,0PlObj,Sim,NONE,miijidaanin,<<miiji>>daanin,JDN-2010-MS-VTI-p43,,,
VTI,Imp,VTI_am,waabandan,waaband,NONE,2SgSubj,0SgObj,Del,NONE,waabandamookan,<<waaband>>amookan,NJ-zoom-2023Sep8; JDN-2010-MS-VTI-p46,,,
VTI,Imp,VTI_am,waabandan,waaband,NONE,2SgSubj,0PlObj,Del,NONE,waabandamookan,<<waaband>>amookan,NJ-zoom-2023Sep8; JDN-2010-MS-VTI-p46,,,
VTI,Imp,VTI_am,waabandan,waaband,NONE,2PlSubj,0SgObj,Del,NONE,waabandamookeg,<<waaband>>amookeg,NJ-zoom-2023Sep8; JDN-2010-MS-VTI-p46,,,
VTI,Imp,VTI_am,waabandan,waaband,NONE,2PlSubj,0PlObj,Del,NONE,waabandamookeg,<<waaband>>amookeg,NJ-zoom-2023Sep8; JDN-2010-MS-VTI-p46,,,
VTI,Imp,VTI_am,waabandan,waaband,NONE,InclSubj,0SgObj,Del,NONE,waabandamookang,<<waaband>>amookang,NJ-zoom-2023Sep8; JDN-2010-MS-VTI-p46,,,
VTI,Imp,VTI_am,waabandan,waaband,NONE,InclSubj,0PlObj,Del,NONE,waabandamookang,<<waaband>>amookang,NJ-zoom-2023Sep8; JDN-2010-MS-VTI-p46,,,
VTI,Imp,VTI_am,waabandan,waaband,NONE,2SgSubj,0SgObj,Prb,NONE,waabandangen,<<waaband>>angen,NJ-zoom-2023Sep8; JDN-2010-MS-VTI-p44,,,
VTI,Imp,VTI_am,waabandan,waaband,NONE,2SgSubj,0PlObj,Prb,NONE,waabandangen,<<waaband>>angen,NJ-zoom-2023Sep8; JDN-2010-MS-VTI-p44,,,
VTI,Imp,VTI_am,waabandan,waaband,NONE,2PlSubj,0SgObj,Prb,NONE,waabandangegon,<<waaband>>angegon,NJ-zoom-2023Sep8; JDN-2010-MS-VTI-p44,,,
VTI,Imp,VTI_am,waabandan,waaband,NONE,2PlSubj,0PlObj,Prb,NONE,waabandangegon,<<waaband>>angegon,NJ-zoom-2023Sep8; JDN-2010-MS-VTI-p44,,,
VTI,Imp,VTI_am,waabandan,waaband,NONE,InclSubj,0SgObj,Prb,NONE,waabandanziidaa,<<waaband>>anziidaa,NJ-zoom-2023Sep8; JDN-2010-MS-VTI-p44,,,
VTI,Imp,VTI_am,waabandan,waaband,NONE,InclSubj,0PlObj,Prb,NONE,waabandanziidaanin,<<waaband>>anziidaanin,NJ-zoom-2023Sep8; JDN-2010-MS-VTI-p44,,,
VTI,Imp,VTI_am,waabandan,waaband,NONE,2SgSubj,0SgObj,Sim,NONE,waabandan,<<waaband>>an,NJ-zoom-2023Sep8; JDN-2010-MS-VTI-p43,,,
VTI,Imp,VTI_am,waabandan,waaband,NONE,2SgSubj,0PlObj,Sim,NONE,waabandan,<<waaband>>an,NJ-zoom-2023Sep8; JDN-2010-MS-VTI-p43,,,
VTI,Imp,VTI_am,waabandan,waaband,NONE,2PlSubj,0SgObj,Sim,NONE,waabandamog,<<waaband>>amog,NJ-zoom-2023Sep8; JDN-2010-MS-VTI-p43,waabandamok,<<waaband>>amok,JDN-2010-MS-VTI-p43
VTI,Imp,VTI_am,waabandan,waaband,NONE,2PlSubj,0PlObj,Sim,NONE,waabandamog,<<waaband>>amog,NJ-zoom-2023Sep8; JDN-2010-MS-VTI-p43,waabandamok,<<waaband>>amok,JDN-2010-MS-VTI-p43
VTI,Imp,VTI_am,waabandan,waaband,NONE,InclSubj,0SgObj,Sim,NONE,waabandandaa,<<waaband>>andaa,NJ-zoom-2023Sep8; JDN-2010-MS-VTI-p43,,,
VTI,Imp,VTI_am,waabandan,waaband,NONE,InclSubj,0PlObj,Sim,NONE,waabandandaanin,<<waaband>>andaanin,NJ-zoom-2023Sep8; JDN-2010-MS-VTI-p43,,,
VTI,Imp,VTI_oo,wanitoon,wanit,NONE,2SgSubj,0SgObj,Del,NONE,wanitookan,<<wanit>>ookan,JDN-2010-MS-VTI-p46,,,
VTI,Imp,VTI_oo,wanitoon,wanit,NONE,2SgSubj,0PlObj,Del,NONE,wanitookan,<<wanit>>ookan,JDN-2010-MS-VTI-p46,,,
VTI,Imp,VTI_oo,wanitoon,wanit,NONE,2PlSubj,0SgObj,Del,NONE,wanitookeg,<<wanit>>ookeg,JDN-2010-MS-VTI-p46,,,
VTI,Imp,VTI_oo,wanitoon,wanit,NONE,2PlSubj,0PlObj,Del,NONE,wanitookeg,<<wanit>>ookeg,JDN-2010-MS-VTI-p46,,,
VTI,Imp,VTI_oo,wanitoon,wanit,NONE,InclSubj,0SgObj,Del,NONE,wanitookang,<<wanit>>ookang,JDN-2010-MS-VTI-p46,,,
VTI,Imp,VTI_oo,wanitoon,wanit,NONE,InclSubj,0PlObj,Del,NONE,wanitookang,<<wanit>>ookang,JDN-2010-MS-VTI-p46,,,
VTI,Imp,VTI_oo,wanitoon,wanit,NONE,2SgSubj,0SgObj,Prb,NONE,wanitooken,<<wanit>>ooken,JDN-2010-MS-VTI-p44,,,
VTI,Imp,VTI_oo,wanitoon,wanit,NONE,2SgSubj,0PlObj,Prb,NONE,wanitooken,<<wanit>>ooken,JDN-2010-MS-VTI-p44,,,
VTI,Imp,VTI_oo,wanitoon,wanit,NONE,2PlSubj,0SgObj,Prb,NONE,wanitookegon,<<wanit>>ookegon,JDN-2010-MS-VTI-p44,,,
VTI,Imp,VTI_oo,wanitoon,wanit,NONE,2PlSubj,0PlObj,Prb,NONE,wanitookegon,<<wanit>>ookegon,JDN-2010-MS-VTI-p44,,,
VTI,Imp,VTI_oo,wanitoon,wanit,NONE,InclSubj,0SgObj,Prb,NONE,wanitoosiidaa,<<wanit>>oosiidaa,JDN-2010-MS-VTI-p44,,,
VTI,Imp,VTI_oo,wanitoon,wanit,NONE,InclSubj,0PlObj,Prb,NONE,wanitoosiidaanin,<<wanit>>oosiidaanin,JDN-2010-MS-VTI-p44,,,
VTI,Imp,VTI_oo,wanitoon,wanit,NONE,2SgSubj,0SgObj,Sim,NONE,wanitoon,<<wanit>>oon,JDN-2010-MS-VTI-p43,,,
VTI,Imp,VTI_oo,wanitoon,wanit,NONE,2SgSubj,0PlObj,Sim,NONE,wanitoon,<<wanit>>oon,JDN-2010-MS-VTI-p43,,,
VTI,Imp,VTI_oo,wanitoon,wanit,NONE,2PlSubj,0SgObj,Sim,NONE,wanitoog,<<wanit>>oog,JDN-2010-MS-VTI-p43,wanitook,<<wanit>>ook,JDN-2010-MS-VTI-p43
VTI,Imp,VTI_oo,wanitoon,wanit,NONE,2PlSubj,0PlObj,Sim,NONE,wanitoog,<<wanit>>oog,JDN-2010-MS-VTI-p43,wanitook,<<wanit>>ook,JDN-2010-MS-VTI-p43
VTI,Imp,VTI_oo,wanitoon,wanit,NONE,InclSubj,0SgObj,Sim,NONE,wanitoodaa,<<wanit>>oodaa,JDN-2010-MS-VTI-p43,,,
VTI,Imp,VTI_oo,wanitoon,wanit,NONE,InclSubj,0PlObj,Sim,NONE,wanitoodaanin,<<wanit>>oodaanin,JDN-2010-MS-VTI-p43,,,
