Paradigm,Order,Class,Lemma,Stem,Head,Subject,Object,Mode,Negation,Form1Surface,Form1Split,Form1Source,Form2Surface,Form2Split,Form2Source,Form3Surface,Form3Split,Form3Source
VTI,Ind,VTI_aa,ayaan,ayaa,NONE,1SgSubj,0PlObj,Dub,Neg,nidayaasiinaadogenan,ni<<ayaa>>siinaadogenan,JDN-2010-MS-VTI-p20,,,,,,
VTI,Ind,VTI_am,waabandan,waaband,NONE,1SgSubj,0PlObj,Dub,Neg,niwaabandanziinaadogenan,ni<<waaband>>anziinaadogenan,JDN-2010-MS-VTI-p18,,,,,,
VTI,Ind,VTI_i,miijin,miiji,NONE,1SgSubj,0PlObj,Dub,Neg,nimiijisiinaadogenan,ni<<miiji>>siinaadogenan,JDN-2010-MS-VTI-p18,,,,,,
VTI,Ind,VTI_oo,wanitoon,wanit,NONE,1SgSubj,0PlObj,Dub,Neg,niwanitoosiinaadogenan,ni<<wanit>>oosiinaadogenan,JDN-2010-MS-VTI-p18,,,,,,
VTI,Ind,VTI_aa,ayaan,ayaa,NONE,2PlSubj,0PlObj,Dub,Neg,gidayaasiinaawaadogenan,gi<<ayaa>>siinaawaadogenan,JDN-2010-MS-VTI-p20,,,,,,
VTI,Ind,VTI_am,waabandan,waaband,NONE,2PlSubj,0PlObj,Dub,Neg,giwaabandanziinaawaadogenan,gi<<waaband>>anziinaawaadogenan,JDN-2010-MS-VTI-p18,,,,,,
VTI,Ind,VTI_i,miijin,miiji,NONE,2PlSubj,0PlObj,Dub,Neg,gimiijisiinaawaadogenan,gi<<miiji>>siinaawaadogenan,JDN-2010-MS-VTI-p18,,,,,,
VTI,Ind,VTI_oo,wanitoon,wanit,NONE,2PlSubj,0PlObj,Dub,Neg,giwanitoosiinaawaadogenan,gi<<wanit>>oosiinaawaadogenan,JDN-2010-MS-VTI-p18,,,,,,
VTI,Ind,VTI_aa,ayaan,ayaa,NONE,2SgSubj,0PlObj,Dub,Neg,gidayaasiinaadogenan,gi<<ayaa>>siinaadogenan,JDN-2010-MS-VTI-p20,,,,,,
VTI,Ind,VTI_am,waabandan,waaband,NONE,2SgSubj,0PlObj,Dub,Neg,giwaabandanziinaadogenan,gi<<waaband>>anziinaadogenan,JDN-2010-MS-VTI-p18,,,,,,
VTI,Ind,VTI_i,miijin,miiji,NONE,2SgSubj,0PlObj,Dub,Neg,gimiijisiinaadogenan,gi<<miiji>>siinaadogenan,JDN-2010-MS-VTI-p18,,,,,,
VTI,Ind,VTI_oo,wanitoon,wanit,NONE,2SgSubj,0PlObj,Dub,Neg,giwanitoosiinaadogenan,gi<<wanit>>oosiinaadogenan,JDN-2010-MS-VTI-p18,,,,,,
VTI,Ind,VTI_aa,ayaan,ayaa,NONE,3PlObvSubj,0PlObj,Dub,Neg,odayaasiininaadogenan,o<<ayaa>>siininaadogenan,JDN-2010-MS-VTI-p20,,,,,,
VTI,Ind,VTI_am,waabandan,waaband,NONE,3PlObvSubj,0PlObj,Dub,Neg,owaabandanziininaadogenan,o<<waaband>>anziininaadogenan,JDN-2010-MS-VTI-p18,,,,,,
VTI,Ind,VTI_i,miijin,miiji,NONE,3PlObvSubj,0PlObj,Dub,Neg,omiijisiininaadogenan,o<<miiji>>siininaadogenan,JDN-2010-MS-VTI-p18,,,,,,
VTI,Ind,VTI_oo,wanitoon,wanit,NONE,3PlObvSubj,0PlObj,Dub,Neg,owanitoosiininaadogenan,o<<wanit>>oosiininaadogenan,JDN-2010-MS-VTI-p18,,,,,,
VTI,Ind,VTI_aa,ayaan,ayaa,NONE,3PlProxSubj,0PlObj,Dub,Neg,odayaasiinaawaadogenan,o<<ayaa>>siinaawaadogenan,JDN-2010-MS-VTI-p20,,,,,,
VTI,Ind,VTI_am,waabandan,waaband,NONE,3PlProxSubj,0PlObj,Dub,Neg,owaabandanziinaawaadogenan,o<<waaband>>anziinaawaadogenan,JDN-2010-MS-VTI-p18,,,,,,
VTI,Ind,VTI_i,miijin,miiji,NONE,3PlProxSubj,0PlObj,Dub,Neg,omiijisiinaawaadogenan,o<<miiji>>siinaawaadogenan,JDN-2010-MS-VTI-p18,,,,,,
VTI,Ind,VTI_oo,wanitoon,wanit,NONE,3PlProxSubj,0PlObj,Dub,Neg,owanitoosiinaawaadogenan,o<<wanit>>oosiinaawaadogenan,JDN-2010-MS-VTI-p18,,,,,,
VTI,Ind,VTI_aa,ayaan,ayaa,NONE,3SgObvSubj,0PlObj,Dub,Neg,odayaasiininaadogenan,o<<ayaa>>siininaadogenan,JDN-2010-MS-VTI-p20,,,,,,
VTI,Ind,VTI_am,waabandan,waaband,NONE,3SgObvSubj,0PlObj,Dub,Neg,owaabandanziininaadogenan,o<<waaband>>anziininaadogenan,JDN-2010-MS-VTI-p18,,,,,,
VTI,Ind,VTI_i,miijin,miiji,NONE,3SgObvSubj,0PlObj,Dub,Neg,omiijisiininaadogenan,o<<miiji>>siininaadogenan,JDN-2010-MS-VTI-p18,,,,,,
VTI,Ind,VTI_oo,wanitoon,wanit,NONE,3SgObvSubj,0PlObj,Dub,Neg,owanitoosiininaadogenan,o<<wanit>>oosiininaadogenan,JDN-2010-MS-VTI-p18,,,,,,
VTI,Ind,VTI_aa,ayaan,ayaa,NONE,3SgProxSubj,0PlObj,Dub,Neg,odayaasiinaadogenan,o<<ayaa>>siinaadogenan,JDN-2010-MS-VTI-p20,,,,,,
VTI,Ind,VTI_am,waabandan,waaband,NONE,3SgProxSubj,0PlObj,Dub,Neg,owaabandanziinaadogenan,o<<waaband>>anziinaadogenan,JDN-2010-MS-VTI-p18,,,,,,
VTI,Ind,VTI_i,miijin,miiji,NONE,3SgProxSubj,0PlObj,Dub,Neg,omiijisiinaadogenan,o<<miiji>>siinaadogenan,JDN-2010-MS-VTI-p18,,,,,,
VTI,Ind,VTI_oo,wanitoon,wanit,NONE,3SgProxSubj,0PlObj,Dub,Neg,owanitoosiinaadogenan,o<<wanit>>oosiinaadogenan,JDN-2010-MS-VTI-p18,,,,,,
VTI,Ind,VTI_aa,ayaan,ayaa,NONE,ExclSubj,0PlObj,Dub,Neg,nidayaasiiminaadogenan,ni<<ayaa>>siiminaadogenan,JDN-2010-MS-VTI-p20,,,,,,
VTI,Ind,VTI_am,waabandan,waaband,NONE,ExclSubj,0PlObj,Dub,Neg,niwaabandanziiminaadogenan,ni<<waaband>>anziiminaadogenan,JDN-2010-MS-VTI-p18,,,,,,
VTI,Ind,VTI_i,miijin,miiji,NONE,ExclSubj,0PlObj,Dub,Neg,nimiijisiiminaadogenan,ni<<miiji>>siiminaadogenan,JDN-2010-MS-VTI-p18,,,,,,
VTI,Ind,VTI_oo,wanitoon,wanit,NONE,ExclSubj,0PlObj,Dub,Neg,niwanitoosiiminaadogenan,ni<<wanit>>oosiiminaadogenan,JDN-2010-MS-VTI-p18,,,,,,
VTI,Ind,VTI_aa,ayaan,ayaa,NONE,InclSubj,0PlObj,Dub,Neg,gidayaasiiminaadogenan,gi<<ayaa>>siiminaadogenan,JDN-2010-MS-VTI-p20,,,,,,
VTI,Ind,VTI_am,waabandan,waaband,NONE,InclSubj,0PlObj,Dub,Neg,giwaabandanziiminaadogenan,gi<<waaband>>anziiminaadogenan,JDN-2010-MS-VTI-p18,,,,,,
VTI,Ind,VTI_i,miijin,miiji,NONE,InclSubj,0PlObj,Dub,Neg,gimiijisiiminaadogenan,gi<<miiji>>siiminaadogenan,JDN-2010-MS-VTI-p18,,,,,,
VTI,Ind,VTI_oo,wanitoon,wanit,NONE,InclSubj,0PlObj,Dub,Neg,giwanitoosiiminaadogenan,gi<<wanit>>oosiiminaadogenan,JDN-2010-MS-VTI-p18,,,,,,
VTI,Ind,VTI_aa,ayaan,ayaa,NONE,XSubj,0PlObj,Dub,Neg,MISSING,,,,,,,,
VTI,Ind,VTI_am,waabandan,waaband,NONE,XSubj,0PlObj,Dub,Neg,MISSING,,,,,,,,
VTI,Ind,VTI_i,miijin,miiji,NONE,XSubj,0PlObj,Dub,Neg,MISSING,,,,,,,,
VTI,Ind,VTI_oo,wanitoon,wanit,NONE,XSubj,0PlObj,Dub,Neg,MISSING,,,,,,,,
