Paradigm,Order,Class,Lemma,Stem,Head,Subject,Object,Mode,Negation,Form1Surface,Form1Split,Form1Source
VTI,Pcp/ChCnj,VTI_aa,ayaan,ayaa,0PlHead,1SgSubj,0PlObj,Dub,Neg,eyaanziiwaaneniin,<ChCnj><<ayaa>>nziiwaaneniin,GUESS
VTI,Pcp/ChCnj,VTI_am,waabandan,waaband,0PlHead,1SgSubj,0PlObj,Dub,Neg,wayaabandanziiwaaneniin,<ChCnj><<waaband>>anziiwaaneniin,GUESS
VTI,Pcp/ChCnj,VTI_i,miijin,miiji,0PlHead,1SgSubj,0PlObj,Dub,Neg,maajisiiwaaneniin,<ChCnj><<miiji>>siiwaaneniin,GUESS
VTI,Pcp/ChCnj,VTI_oo,wanitoon,wanit,0PlHead,1SgSubj,0PlObj,Dub,Neg,wenitoosiiwaaneniin,<ChCnj><<wanit>>oosiiwaaneniin,GUESS
VTI,Pcp/ChCnj,VTI_aa,ayaan,ayaa,0PlHead,1SgSubj,0PlObj,Dub,Pos,MISSING,,
VTI,Pcp/ChCnj,VTI_am,waabandan,waaband,0PlHead,1SgSubj,0PlObj,Dub,Pos,wayaabandamowaaneniin,<ChCnj><<waaband>>amowaaneniin,GUESS
VTI,Pcp/ChCnj,VTI_i,miijin,miiji,0PlHead,1SgSubj,0PlObj,Dub,Pos,maajiwaaneniin,<ChCnj><<miiji>>waaneniin,GUESS
VTI,Pcp/ChCnj,VTI_oo,wanitoon,wanit,0PlHead,1SgSubj,0PlObj,Dub,Pos,wenitoowaaneniin,<ChCnj><<wanit>>oowaaneniin,GUESS
VTI,Pcp/ChCnj,VTI_aa,ayaan,ayaa,0PlHead,1SgSubj,0PlObj,DubPrt,Neg,MISSING,,
VTI,Pcp/ChCnj,VTI_am,waabandan,waaband,0PlHead,1SgSubj,0PlObj,DubPrt,Neg,wayaabandanziiwaambaaneniin,<ChCnj><<waaband>>anziiwaambaaneniin,GUESS
VTI,Pcp/ChCnj,VTI_i,miijin,miiji,0PlHead,1SgSubj,0PlObj,DubPrt,Neg,maajisiiwaambaaneniin,<ChCnj><<miiji>>siiwaambaaneniin,GUESS
VTI,Pcp/ChCnj,VTI_oo,wanitoon,wanit,0PlHead,1SgSubj,0PlObj,DubPrt,Neg,wenitoosiiwaambaaneniin,<ChCnj><<wanit>>oosiiwaambaaneniin,GUESS
VTI,Pcp/ChCnj,VTI_aa,ayaan,ayaa,0PlHead,1SgSubj,0PlObj,DubPrt,Pos,MISSING,,
VTI,Pcp/ChCnj,VTI_am,waabandan,waaband,0PlHead,1SgSubj,0PlObj,DubPrt,Pos,wayaabandamowaambaaneniin,<ChCnj><<waaband>>amowaambaaneniin,GUESS
VTI,Pcp/ChCnj,VTI_i,miijin,miiji,0PlHead,1SgSubj,0PlObj,DubPrt,Pos,maajiwaambaaneniin,<ChCnj><<miiji>>waambaaneniin,GUESS
VTI,Pcp/ChCnj,VTI_oo,wanitoon,wanit,0PlHead,1SgSubj,0PlObj,DubPrt,Pos,wenitoowaambaaneniin,<ChCnj><<wanit>>oowaambaaneniin,GUESS
VTI,Pcp/ChCnj,VTI_aa,ayaan,ayaa,0PlHead,1SgSubj,0PlObj,Neu,Neg,eyaanziwaanin,<ChCnj><<ayaa>>nziwaanin,GUESS
